,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
1436,Padre Llanos,Monumento de la ciudad de Madrid,C Cooperativa Eléctrica ,"419 - Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",7,479,5
1437,Pairón o Peirón,Monumento de la ciudad de Madrid,C María de Molina ,140 - Velázquez 130,"Calle Velázquez nº 130,",5,368,4
1438,Palacete Villa Rosa,Monumento de la ciudad de Madrid,Ctra Canillas 2,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,494,6
1439,Palacio de Miraflores,Monumento de la ciudad de Madrid,Ctra San Jerónimo 15,28 - Sevilla,Calle Alcalá nº 27,1,179,2
1440,Paloma de la Paz,Monumento de la ciudad de Madrid,Pza Paloma de la Paz 1,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,3048,38
1441,Paneles cerámicos vidriados. Palomeras bajas,Monumento de la ciudad de Madrid,CALLE AHIJONES 1,"419 - Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",7,298,3
1442,Pareja Feliz,Monumento de la ciudad de Madrid,C Arturo Soria 214,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,369,4
1443,Parque Juan Carlos I,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1652,20
1444,Parque de Atenas,Monumento de la ciudad de Madrid,PASEO CIUDAD DE PLASENCIA ,167 - Segovia 45,Calle Segovia nº 45,22,377,4
1445,Parque de Atracciones,Monumento de la ciudad de Madrid, ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,688,8
1446,Parque de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo ,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,671,8
1447,Parque de la Arganzuela,Monumento de la ciudad de Madrid, ,174 - Madrid Río-Yeserías,"Paseo de Yeserías nº 45,",7,227,2
1448,Parque de la Montaña,Monumento de la ciudad de Madrid, ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,216,2
1449,Parque de las Naciones,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 1,123 - Guzmán el Bueno,"Calle Guzmán el Bueno nº 1,",1,33,0
1450,Partido Socialista Obrero Español,Monumento de la ciudad de Madrid,C Tetuán 12,25a - Plaza de Celenque A,Plaza de Celenque nº 1,1,132,1
1451,Paso peatonal Puerta Sur,Monumento de la ciudad de Madrid,C Párroco Eusebio Cuenca ,235 - Embajadores 191,Calle Sodio nº 1B,3,628,7
1452,Paul Guinard,Monumento de la ciudad de Madrid,C Paul Guinard (Casa de Velázquez) 3,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,265,3
1453,Paul Harris,Monumento de la ciudad de Madrid,Pº Pintor Rosales ,117 - Altamirano,Calle Altamirano nº 24,1,422,5
1454,Paulus,Monumento de la ciudad de Madrid,PLAZA ARMERIA 1,36 - Plaza Ramales,Plaza de Ramales,1,305,3
1455,Pedestal del paseo Duque de Fernán Núñez,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1456,Pedestal del paseo de los Reyes,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,450,5
1457,Pedro Antonio de Alarcón,Monumento de la ciudad de Madrid,C Atocha 94,42 - Santa Isabel,"Calle Atocha nº 95,",2,246,3
1458,Pedro Calderón de la Barca,Monumento de la ciudad de Madrid,Pza Santa Ana ,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,60,0
1459,Pedro Escartín,Monumento de la ciudad de Madrid,C Hermosilla 36,90 - General Pardiñas,"Calle Goya nº 18,",2,132,1
1460,Pedro Escartín,Monumento de la ciudad de Madrid,PASEO CASTELLANA 142,253 - Doctor Fleming,Calle Doctor Fleming nº 7,6,282,3
1461,Pedro González Gutiérrez,Monumento de la ciudad de Madrid,PARQUE CERRO PEÑABEL ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,660,8
1462,Pedro Muñoz Seca,Monumento de la ciudad de Madrid,C Velázquez 57,87 - Ayala,Calle Ayala nº 44,8,136,1
1463,Pedro Sainz de Baranda y Gorriti,Monumento de la ciudad de Madrid,CALLE ALCALDE SAINZ DE BARANDA 2,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,168,2
1464,Pedro Vargas,Monumento de la ciudad de Madrid,Pº Panamá ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,379,4
1465,Pedro de Valdivia,Monumento de la ciudad de Madrid,CALLE PEDRO DE VALDIVIA 24,250 - Serrano 113,Calle Serrano nº 113B,1,192,2
1466,Pegaso,Monumento de la ciudad de Madrid,Ctra Acceso al Aeropuerto ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,3157,39
1467,"Pelayo, Rey de Asturias",Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,168,2
1468,Pepín Fernández,Monumento de la ciudad de Madrid,Pza Carmen ,56 - Plaza del Carmen ,Plaza del Carmen nº 1,1,67,0
1469,Petrus,Monumento de la ciudad de Madrid,Pza Armería ,36 - Plaza Ramales,Plaza de Ramales,1,221,2
1470,Pilar I,Monumento de la ciudad de Madrid,C Costa del Sol 2,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,621,7
1471,Pilar IV,Monumento de la ciudad de Madrid,C Mar de las Antillas 1,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,1247,15
1472,Pilares II y III,Monumento de la ciudad de Madrid,C Costa del Sol 8,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,685,8
1473,Pilastras hitos plaza Recibimiento,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1667,20
1474,Pilono Colonia Alfonso XIII,Monumento de la ciudad de Madrid,GLORIETA MONTAÑA 2,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,432,5
1475,Pinturas Mingote,Monumento de la ciudad de Madrid,C de la Sal ,31 - Calle Mayor,Calle Mayor nº 20,2,97,1
1476,Pinturas murales Pasaje Pleyel,Monumento de la ciudad de Madrid,C Mayor 6,25a - Plaza de Celenque A,Plaza de Celenque nº 1,1,89,1
1477,Pirámide en Mirador,Monumento de la ciudad de Madrid, ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1313,16
1478,Pirámides del parque Peñuelas,Monumento de la ciudad de Madrid,Pº Esperanza ,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,4,71,0
1479,Placa Matadero en  Arganzuela,Monumento de la ciudad de Madrid, ,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,10,290,3
1480,Placa Matadero en Usera,Monumento de la ciudad de Madrid,"Avda Manzanares, del 212",213 - Glorieta de Cádiz,Calle Antonio López nº 129,6,178,2
1481,Placa Museo al Aire Libre,Monumento de la ciudad de Madrid,Pº Castellana 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,407,5
1482,Placa inauguración Asamblea de Madrid,Monumento de la ciudad de Madrid,Avda Pablo Neruda 142,"420 - Calle de Candilejas, 5","Calle de Candilejas, 5,",1,86,1
1483,Placa informativa Museo al Aire Libre,Monumento de la ciudad de Madrid,PASEO CASTELLANA 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,309,3
1484,Placa-listado cripta,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,613,7
1485,Plano de Entrevías,Monumento de la ciudad de Madrid,Avda Entrevías 52,"418 - Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",8,556,6
1486,Planta cimientos Convento Trinitarios,Monumento de la ciudad de Madrid,Pza Platería de Martínez ,67 - Almadén,Calle Almadén nº 28,7,214,2
1487,Planta cimientos Fábrica Platerías,Monumento de la ciudad de Madrid,Pza Platería de Martínez 1,67 - Almadén,Calle Almadén nº 28,7,196,2
1488,Planta de la torre de la iglesia de Santa Cruz,Monumento de la ciudad de Madrid,Pza Santa Cruz 1,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,1,136,1
1489,Plaza de Juan Santamaría,Monumento de la ciudad de Madrid,Pza Juan Santamaría ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,190,2
1490,Plaza de Oriente,Monumento de la ciudad de Madrid,Pza Oriente 1,36 - Plaza Ramales,Plaza de Ramales,1,93,1
1491,Plaza de Toros de Tetuán,Monumento de la ciudad de Madrid,CALLE BRAVO MURILLO 297,206 - Metro Tetuán,"Calle Marqués de Viana nº 3,",8,126,1
1492,Plaza de la Unión Cárcavas-San Antonio,Monumento de la ciudad de Madrid,Pza Unión Cárcavas-San Antonio ,526 - Plaza del Liceo,"Plaza del Liceo,",14,2922,36
1493,Plaza de los Emperadores,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,183,2
1494,Plaza de los Ministerios,Monumento de la ciudad de Madrid,Pº Castellana 67,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,227,2
1495,Plaza-Escultura,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,410,5
1496,Plácido Domingo,Monumento de la ciudad de Madrid,C Ibiza 34,181 - Retiro-Ibiza,"Calle Ibiza nº 18,",1,232,2
1497,Polideportivo de Hortaleza,Monumento de la ciudad de Madrid,Ctra Acceso a la Estación de Hortaleza ,"527 - Calle de Velacho Alto, 2","Calle de Velacho Alto, 2,",1,1031,12
1498,Polideportivo de Vicálvaro,Monumento de la ciudad de Madrid,PASEO POLIDEPORTIVO 3,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2566,32
1499,Por la Paz y el Desarme,Monumento de la ciudad de Madrid,AUDITORIO PARQUE DE LA VICALVARADA ,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2051,25
1500,Portada Cementerio de la Florida,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,552,6
1501,Portada de Torre Arias,Monumento de la ciudad de Madrid,CALLE ALCALA 551,"496 - Calle Cronos , 14","Calle Cronos , 14,",5,564,7
1502,Premio Europa Nostra 2003,Monumento de la ciudad de Madrid,C Huertas 47,27 - Huertas,Calle Jesús nº 1,4,163,2
1503,Prensa,Monumento de la ciudad de Madrid,C Principal de Provincias ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,508,6
1504,Primera Piedra Ciudad Lineal,Monumento de la ciudad de Madrid,C Arturo Soria 3,"477 - Misterios, 1","Misterios,1,",2,62,0
1505,Primera Piedra del Banco España,Monumento de la ciudad de Madrid,Pº Prado 2,86 - Cibeles,Plaza Cibeles,2,74,0
1506,Princesa de Yaiza,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,1517,18
1507,Proalí,Monumento de la ciudad de Madrid,PASEO CASTELLANA 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,309,3
1508,Protección a la Infancia,Monumento de la ciudad de Madrid,Pza Campillo del Mundo Nuevo ,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2,2,399,4
1509,Proyecto para un monumento IV B,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,453,5
1510,Puente Colorado,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
1511,Puente Principado de Andorra,Monumento de la ciudad de Madrid,"Avda Manzanares, del 48",223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1,223,2
1512,Puente de Arganzuela,Monumento de la ciudad de Madrid, ,169 - Pirámides,Calle Toledo nº 181,2,373,4
1513,Puente de La Agachadiza,Monumento de la ciudad de Madrid,Pº Castaños ,"326 - Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",4,905,11
1514,Puente de Segovia,Monumento de la ciudad de Madrid, Puente de Segovia ,167 - Segovia 45,Calle Segovia nº 45,22,604,7
1515,Puente de Segovia. Panel informativo,Monumento de la ciudad de Madrid,Pº Marqués de Monistrol 7,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,603,7
1516,Puente de hierro sobre la ría,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,327,4
1517,Puente de la Garrapata,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
1518,Puente del Alamo Negro,Monumento de la ciudad de Madrid,Ctra Zarzón ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,2028,25
1519,Puente peatonal sobre el arroyo de Antequina,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
1520,Puentes del Invernadero y del Matadero,Monumento de la ciudad de Madrid, ,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,10,258,3
1521,Puerta Bonita,Monumento de la ciudad de Madrid,C General Ricardos ,350 - Calle de Ervigio,"Calle de Ervigio,",17,977,12
1522,Puerta Cerrada,Monumento de la ciudad de Madrid,Pza Puerta Cerrada ,35 - Plaza del Cordón,Plaza del Cordón,2,149,1
1523,Puerta Colonia de la Prensa,Monumento de la ciudad de Madrid,C Rodríguez Lázaro 1,350 - Calle de Ervigio,"Calle de Ervigio,",17,2586,32
1524,Puerta Huerta de la Salud,Monumento de la ciudad de Madrid,C Mar de las Antillas 6,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,1345,16
1525,Puerta Real del Jardín Botánico,Monumento de la ciudad de Madrid,Pº Prado 11,67 - Almadén,Calle Almadén nº 28,7,107,1
1526,Puerta San Vicente. Panel informativo,Monumento de la ciudad de Madrid,Gta San Vicente ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,312,3
1527,Puerta de Alcalá,Monumento de la ciudad de Madrid,Pza Independencia ,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,3,47,0
1528,Puerta de Aravaca,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
1529,Puerta de Dante del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,157,1
1530,Puerta de España del Retiro,Monumento de la ciudad de Madrid,C Alfonso XII ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,87,1
1531,Puerta de Felipe IV del Retiro,Monumento de la ciudad de Madrid,C Alfonso XII 3,65 - Antonio Maura,Calle Antonio Maura nº 15,1,176,2
1532,Puerta de Granada del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,45,0
1533,Puerta de Hernani del Retiro,Monumento de la ciudad de Madrid,C Alcalá 62,102 - Velázquez,Calle Alcalá nº 95,1,254,3
1534,Puerta de Herrero Palacios del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,66,0
1535,Puerta de Hierro,Monumento de la ciudad de Madrid,AVENIDA PADRE HUIDOBRO 1,261 - Facultad Derecho,Avenida Complutense nº 23,2,1717,21
1536,Puerta de Madrid del Retiro,Monumento de la ciudad de Madrid,C O'Donnell ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,200,2
1537,Puerta de Murillo del Retiro,Monumento de la ciudad de Madrid,C Alfonso XII ,68 - Espalter,Calle Espalter nº 1,1,290,3
1538,Puerta de O´Donnell del Retiro,Monumento de la ciudad de Madrid,C O'Donnell ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,34,0
1539,Puerta de Rodajos,Monumento de la ciudad de Madrid,Ctra Rodajos ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,3616,45
1540,Puerta de Sainz de Baranda del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,210,2
1541,Puerta de San Vicente,Monumento de la ciudad de Madrid,Gta San Vicente ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,301,3
1542,Puerta de Somosaguas,Monumento de la ciudad de Madrid,CARRETERA SOMOSAGUAS ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1155,14
1543,Puerta de Toledo,Monumento de la ciudad de Madrid,Gta Puerta de Toledo ,162 - Metro Pirámides,"Paseo de los Olmos nº 28,",1,376,4
1544,Puerta de la Alcarria,Monumento de la ciudad de Madrid,C Alcarria ,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,1954,24
1545,Puerta de la América Española del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo 10,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,178,2
1546,Puerta de la Ilustración,Monumento de la ciudad de Madrid,C Ginzo de Limia ,"575 - Ginzo de Limia, 36","Ginzo de Limia, 36,",1,473,5
1547,Puerta de la Independencia del Retiro,Monumento de la ciudad de Madrid,Pza Independencia ,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,3,54,0
1548,Puerta de la Latina,Monumento de la ciudad de Madrid,Avda Juan de Herrera 4,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,187,2
1549,Puerta de la Reina Mercedes del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,181 - Retiro-Ibiza,"Calle Ibiza nº 18,",1,288,3
1550,Puerta de los Cuarteles de Daoiz y Velarde,Monumento de la ciudad de Madrid,Avda Ciudad de Barcelona 164,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3,6,196,2
1551,Puerta de los Osos,Monumento de la ciudad de Madrid,C General Ricardos 179,350 - Calle de Ervigio,"Calle de Ervigio,",17,1590,19
1552,Puerta de los jardines del Arquitecto Herrero Palacios,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,229,2
1553,Puerta del Doce de Octubre del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,23,0
1554,Puerta del Niño Jesús del Retiro,Monumento de la ciudad de Madrid,Pza Menéndez Pelayo ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,94,1
1555,Puerta del Olivar de Atocha (Jardines de Cecilio Rodríguez),Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,265,3
1556,Puerta del Reservado Grande,Monumento de la ciudad de Madrid,Pº Marqués de Monistrol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,393,4
1557,Puerta del Rey,Monumento de la ciudad de Madrid,Pº Marqués de Monistrol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,349,4
1558,Puerta del Zarzón,Monumento de la ciudad de Madrid,CARRETERA ZARZON 6,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1897,23
1559,Puerta del pabellón de los Jardines Cecilio Rodríguez,Monumento de la ciudad de Madrid,Pº Uruguay ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,131,1
1560,Puerta del Ángel Caído del Retiro,Monumento de la ciudad de Madrid,C Alfonso XII 5,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,53,0
1561,Puerta entre Reservados,Monumento de la ciudad de Madrid,PASEO PLATANOS ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1099,13
1562,Puerta norte del Jardín Botánico,Monumento de la ciudad de Madrid,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,1,101,1
1563,Puerta secundaria jardines Cecilio Rodríguez,Monumento de la ciudad de Madrid,Pº Uruguay ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,96,1
1564,Puerta sur de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid,Pº Uruguay ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,177,2
1565,Puertas Biblioteca y Museo Arqueológico Nacionales,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,36,0
1566,Pérgola calle del Euro,Monumento de la ciudad de Madrid,Avda Euro ,"390 - Calle de la Avena, 10","Calle de la Avena, 10,",2,2562,32
1567,Pérgola parque del Manzanares,Monumento de la ciudad de Madrid, ,"265 - Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",2,925,11
1568,Pérgolas Gran Vía Villaverde,Monumento de la ciudad de Madrid,C Gran Vía de Villaverde ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,2453,30
1569,Pérgolas del parque Enrique Tierno Galván,Monumento de la ciudad de Madrid, ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,640,8
1570,Pío Baroja,Monumento de la ciudad de Madrid,C Claudio Moyano ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,21,0
1571,Pórtico principal,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1591,19
1572,Quer,Monumento de la ciudad de Madrid,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,1,105,1
1573,Quiosco de Música del Retiro,Monumento de la ciudad de Madrid,Pza Maestro Villa ,102 - Velázquez,Calle Alcalá nº 95,1,222,2
1574,Rafael Alberti,Monumento de la ciudad de Madrid,Avda Rafael Alberti 11,"435 - Calle San Claudio, 154","Calle San Claudio, 154,",2,190,2
1575,Rafael El Gallo,Monumento de la ciudad de Madrid,C Cedaceros 3,28 - Sevilla,Calle Alcalá nº 27,1,75,0
1576,Rafael Martínez Molina,Monumento de la ciudad de Madrid,C Atocha 105,67 - Almadén,Calle Almadén nº 28,7,257,3
1577,Rafael de León,Monumento de la ciudad de Madrid,CALLE MAIQUEZ 12,62 - O'Donnell,Calle O'Donnell nº 50,2,81,1
1578,Ramiro I,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,101,1
1579,Ramiro I. Primer Rey de Aragón,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,226,2
1580,Ramiro II. Rey de León,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,194,2
1581,Ramón Berenguer IV,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1582,Ramón Carande,Monumento de la ciudad de Madrid,PASEO ARTILLEROS 1,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2013,25
1583,Ramón Gómez de la Serna,Monumento de la ciudad de Madrid,Pza Gabriel Miró ,167 - Segovia 45,Calle Segovia nº 45,22,230,2
